RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Christian McCaffrey,CAR,RB1,13,3 out of 5 stars,1
2,1,Jonathan Taylor,IND,RB2,14,3 out of 5 stars,-1
3,1,Austin Ekeler,LAC,RB3,8,2 out of 5 stars,0
4,1,Dalvin Cook,MIN,RB4,7,4 out of 5 stars,3
5,2,Justin Jefferson,MIN,WR1,7,2 out of 5 stars,1
6,2,Cooper Kupp,LAR,WR2,7,2 out of 5 stars,-2
7,2,Najee Harris,PIT,RB5,9,3 out of 5 stars,2
8,2,Joe Mixon,CIN,RB6,10,3 out of 5 stars,2
9,2,D'Andre Swift,DET,RB7,6,4 out of 5 stars,6
10,2,Derrick Henry,TEN,RB8,6,4 out of 5 stars,-5
11,2,Travis Kelce,KC,TE1,8,3 out of 5 stars,3
12,2,Ja'Marr Chase,CIN,WR3,10,3 out of 5 stars,-4
13,3,Alvin Kamara,NO,RB9,14,3 out of 5 stars,0
14,3,Davante Adams,LV,WR4,6,2 out of 5 stars,-3
15,3,Stefon Diggs,BUF,WR5,7,4 out of 5 stars,-3
16,3,Saquon Barkley,NYG,RB10,9,3 out of 5 stars,5
17,3,Aaron Jones,GB,RB11,14,3 out of 5 stars,0
18,3,CeeDee Lamb,DAL,WR6,9,3 out of 5 stars,2
19,3,Mark Andrews,BAL,TE2,10,2 out of 5 stars,5
20,4,Leonard Fournette,TB,RB12,11,2 out of 5 stars,3
21,4,Tyreek Hill,MIA,WR7,11,2 out of 5 stars,-3
22,4,Javonte Williams,DEN,RB13,9,3 out of 5 stars,3
23,4,Keenan Allen,LAC,WR8,8,3 out of 5 stars,4
24,4,Michael Pittman Jr.,IND,WR9,14,4 out of 5 stars,9
25,4,Mike Evans,TB,WR10,11,4 out of 5 stars,1
26,4,Deebo Samuel,SF,WR11,9,3 out of 5 stars,-10
27,4,A.J. Brown,PHI,WR12,7,4 out of 5 stars,4
28,4,Nick Chubb,CLE,RB14,9,3 out of 5 stars,-9
29,4,DJ Moore,CAR,WR13,13,3 out of 5 stars,12
30,4,Tee Higgins,CIN,WR14,10,3 out of 5 stars,4
31,4,Kyle Pitts,ATL,TE3,14,2 out of 5 stars,1
32,4,James Conner,ARI,RB15,13,2 out of 5 stars,-4
33,4,Ezekiel Elliott,DAL,RB16,9,4 out of 5 stars,-3
34,5,Travis Etienne Jr.,JAC,RB17,11,3 out of 5 stars,5
35,5,Josh Allen,BUF,QB1,7,3 out of 5 stars,-13
36,5,David Montgomery,CHI,RB18,14,5 out of 5 stars,0
37,5,Mike Williams,LAC,WR15,8,3 out of 5 stars,8
38,5,Diontae Johnson,PIT,WR16,9,4 out of 5 stars,5
39,5,Brandin Cooks,HOU,WR17,6,3 out of 5 stars,14
40,5,Courtland Sutton,DEN,WR18,9,4 out of 5 stars,16
41,5,Terry McLaurin,WAS,WR19,14,4 out of 5 stars,-1
42,5,Jaylen Waddle,MIA,WR20,11,2 out of 5 stars,4
43,5,Justin Herbert,LAC,QB2,8,3 out of 5 stars,-8
44,5,Breece Hall,NYJ,RB19,10,4 out of 5 stars,7
45,5,AJ Dillon,GB,RB20,14,3 out of 5 stars,21
46,5,Allen Robinson II,LAR,WR21,7,2 out of 5 stars,14
47,6,Patrick Mahomes II,KC,QB3,8,2 out of 5 stars,-18
48,6,Cam Akers,LAR,RB21,7,2 out of 5 stars,-10
